bakken; bakte; bakten; gebakken; to fry
bannen; bande; banden; gebannen; to ban
barsten; barstte; barstten; gebarsten; to burst
bederven; bedierf; bedierven; bedorven; to rot, to decay
bedriegen; bedroog; bedrogen; bedrogen; to deceive, to cheat
beginnen; begon; begonnen; begonnen; to begin
behangen; behangde; behangden; behangen; to wall-paper
benijden; beneed; beneden; beneden; to envy
bergen; borg; borgen; geborgen; to store, to recover
bevelen; beval; bevalen; bevolen; to orde, to command
bezwijken; bezweek; bezweken; bezweken; to succumb, to collapse
bidden; bad; baden; gebeden; to pray
bijten; beet; beten; gebeten; to bite
binden; bond; bonden; gebonden; to bind, to tie
blazen; blies; bliezen; geblazen; to blow, to spit (cat)
blijken; bleek; bleken; gebleken; to appear
blijven; bleef; bleven; gebleven; to stay, to remain
blinken; blonk; blonken; geblonken; to shine, to gleam
braden; braadde; braadden; gebraden; to roast, to grill
breken; brak; braken; gebroken; to break
brengen; bracht; brachten; gebracht; to bring
brouwen; brouwde; brouwden; gebrouwen; to brew
buigen; boog; bogen; gebogen; to bend
denken; dacht; dachten; gedacht; to think
dingen naar; dong naar; dongen naar; gedongen naar; to bid for
dragen; droeg; droegen; gedragen; to carry, to bear
drijven; dreef; dreven; gedreven; to drive, to float
dringen; drong; drongen; gedrongen; to push (a crowd)
drinken; dronk; dronken; gedronken; to drink
druipen; droop; dropen; gedropen; to drip
duiken; dook; doken; gedoken; to dive
dwingen; dwong; dwongen; gedwongen; to force
eten; at; aten; gegeten; to eat
fluiten; floot; floten; gefloten; to whistle
gelden; gold; golden; gegolden; to be in effect
genezen; genas; genazen; genezen; to heal, to cure
genieten; genoot; genoten; genoten; to enjoy
geven; gaf; gaven; gegeven; to give
gieten; goot; goten; gegoten; to pour
glijden; gleed; gleden; gegleden; to glide
glimmen; glom; glommen; geglommen; to glimmer
graven; groef; groeven; gegraven; to dig
grijpen; greep; grepen; gegrepen; to grab, to snatch
hangen; hing; hingen; gehangen; to hang
heffen; hief; hieven; geheven; to raise, to lift
helpen; hielp; hielpen; geholpen; to help
heten; heette; heetten; geheten; to be called
hijsen; hees; hesen; gehesen; to hoist (sails, flag)
hoeven; hoefde; hoefden; gehoeven; to be necessary
houden; hield; hielden; gehouden; to hold
houwen; houwde; houwden; gehouwen; to hew, to hack
jagen; joeg; joegen; gejaagd; to hunt
kiezen; koos; kozen; gekozen; to choose, to elect
kijken; keek; keken; gekeken; to look
klimmen; klom; klommen; geklommen; to climb
klinken; klonk; klonken; geklonken; to sound, to ring, to clink
kluiven; kloof; kloven; gekloven; to pick (a bone), to nibble
knijpen; kneep; knepen; geknepen; to pinch, to squeeze
kopen; kocht; kochten; gekocht; to buy  
krijgen; kreeg; kregen; gekregen; to get
krimpen; kromp; krompen; gekrompen; to shrink
kruipen; kroop; kropen; gekropen; to crawl, to creep
zich kwijten van; kweet zich van; kweten zich van; zich gekweten van; to acquit oneself of  
lachen; lachte; lachten; gelachen; to laugh, to smile
laden; laaddel; laadden; geladen; to load, to charge
laten; liet; lieten; gelaten; to let, to allow
lezen; las; lazen; gelezen; to read
liegen; loog; logen; gelogen; to (tell a) lie
liggen; lag; lagen; gelegen; to lie (on a bed)
lijden; leed; leden; geleden; to suffer
lijken; leek; leken; geleken; to resemble, to seem
lopen; liep; liepen; gelopen; to walk
malen; maalde; maalden; gemalen; to grind
melken; molk; molken; gemolken; to milk (a cow)
meten; mat; maten; gemeten; to measure
mijden; meed; meden; gemeden; to avoid
moeten; moest; moesten; gemoeten; to must, have to  
nemen; nam; namen; genomen; to take
nijgen; neeg; negen; genegen; to make a bow
ontginnen; ontgon; ontgonnen; ontgonnen; to reclaim (land)
ontluiken; ontlook; ontloken; ontloken; to open (flower, beauty)
pluizen; ploos; plozen; geplozen; to fluff, to give off fluff
prijzen; prees; prezen; geprezen; to praise
raden; raadde; raadden; geraden; go guess
verraden; verried; verrieden; verraden; to betray, to give away
rijden; reed; reden; gereden; to drive, to ride
rijgen; reeg; regen; geregen; to tack, to lace, to thread
rijten; reet; reten; gereten; to tear, to rip
rijzen; rees; rezen; gerezen; to rise
roepen; riep; riepen; geroepen; to call, to shout
ruiken; rook; roken; geroken; to smell, to scent
scheiden; scheidde; scheidden; gescheiden; to divorce, to separate
schelden; schold; scholden; gescholden; to curse, to swear
schenden; schond; schonden; geschonden; to violate, to damage
schenken; schonk; schonken; geschonken; to donate, to pour  
scheppen; shiep; schiepen; geschapen; to create
scheren; scheerde; scheerden; geschoren; to shave
schieten; schoot; schoten; geschoten; to shoot
schijnen; scheen; schenen; geschenen; to shine, to seem
schijten; scheet; scheten; gescheten; to shit (flat)
schrijven; schreef; schreven; geschreven; to write
schrikken; schrok; schrokken; geschrokken; to be startled
schuilen; school; scholen; gescholen; to shelter
schuiven; schoof; schoven; geschoven; to shove
slapen; sliep; sliepen; geslapen; to sleep
slijpen; sleep; slepen; geslepen; to sharpen, to polish  
slijten; sleet; sleten; gesleten; to wear out, to sell  
slinken; slonk; slonken; geslonken; to shrink, to decrease in number  
sluipen; sloop; slopen; geslopen; to sneak, to slink
sluiten; sloot; sloten; gesloten; to close, to shut
smelten; smolt; smolten; gesmolten; to melt
smijten; smeet; smeten; gesmeten; to throw, to fling
snijden; sneed; sneden; gesneden; to cut
snuiten; snoot; snoten; gesnoten; to snout, to blow (nose)
snuiven; snoof; snoven; gesnoven; to sniff, to snort
spannen; spande; spanden; gespannen; to strain, to bend (a bow)
spijten; speet; speten; gespeten; to regret
spinnen; spon; sponnen; gesponnen; to twist
splijten; spleet; spleten; gespleten; to split, to cleave
spreken; sprak; spraken; gesproken; to speak
springen; sprong; sprongen; gesprongen; to jump, to spring
spruiten; sproot; sproten; gesproten; to sprout, to grow out
spuiten; spoot; spoten; gespoten; to spout, to squirt
steken; stak; staken; gestoken; to stab, to prick, to sting
stelen; stal; stalen; gestolen; to steal
sterven; stierf; stierven; gestorven; to die
stijgen; steeg; stegen; gestegen; to rise
stijven; steef; steven; gesteven; to starch
stinken; stonk; stonken; gestonken; to stink
stoten; stootte; stootten; gestoten; to push, to bump
strijden; streed; streden; gestreden; to battle, to fight
strijken; streek; streken; gestreken; to iron (clothes), strike (flag), smooth (hair)
stuiven; stoof; stoven; gestoven; to cause dust to whirl, to dash forward  
treden; trad; traden; getreden; to tread
treffen; trof; troffen; getroffen; to hit (goal) to strike
trekken; trok; trokken; getrokken; to pull, to draw, to travel
vallen; viel; vielen; gevallen; to fall
vangen; ving; vingen; gevangen; to catch
varen; voer; voeren; gevarenl; to fare, to sail
vechten; vocht; vochten; gevochten; to fight
verdrieten; verdroot; verdroten; verdroten; to grieve
verdwijnen; verdween; verdwenen; verdwenen; to disappear
vergeten; vergat; vergaten; vergeten; to forget
verliezen; verloor; verloren; verloren; to lose
vinden; vond; vonden; gevonden; to find
vlechten; vlocht; vlochten; gevlochten; to plait, to braid
vliegen; vloog; vlogen; gevlogen; to fly
vouwen; vouwde; vouwden; gevouwen; to fold
vragen; vroeg; vroegen; gevraagd; to ask
vreten; vrat; vraten; gevreten; to eat, to devour
vriezen; vroor; vroren; gevroren; to freeze
vrijen; vree/vrijde; vreeën/vrijden; gevreeën/gevrijd; to make love
wassen; waste; wasten; gewassen; to wash
wegen; woog; wogen; gewogen; to weigh
werpen; wierp; wierpen; geworpen; to throw
werven; wierf; wierven; geworven; to recruit
weten; wist; wisten; geweten; to know
weven; weefde; weefden; geweven; to weave
wijken; week; weken; geweken; to give way
wijten; weet; weten; geweten; to blame (something) on
wijzen; wees; wezen; gewezen; to point
winden; wond; wonden; gewonden; to wind
winnen; won; wonnen; gewonnen; to win
worden; werd; werden; geworden; to become
wrijven; wreef; wreven; gewreven; to rub
wringen; wrong; wrongen; gewrongen; to wring
zeggen; zei; zeiden; gezegd; to say
zenden; zond; zonden; gezonden; to send
(neer)zijgen; zeeg neer; zegen neer; neergezegen; to sink down  
zingen; zong; zongen; gezongen; to sing
zinken; zonk; zonken; gezonken; to sink
zinnen; zon; zonnen; gezonnen; to ponder
zitten; zat; zaten; gezeten; to sit
zoeken; zocht; zochten; gezocht; to seek, to search
zuigen; zoog; zogen; gezogen; to suck
zuipen; zoop; zopen; gezopen; to booze
zwelgen; zwolg; zwolgen; gezwolgen; to revel, to dwell
zwellen; zwol; zwollen; gezwollen; to swell
zwemmen; zwom; zwommen; gezwommen; to swim
zweren; zwoer; zwoeren; gezworen; to swear (oath)
zwerven; zwierf; zwierven; gezworven; to wander, to ramble
zwijgen; zweeg; zwegen; gezwegen; to be silent
